"filename", "language", "JavaScript", "SCSS", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\rafal\Desktop\amca website\amca-website\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rafal\Desktop\amca website\amca-website\package-lock.json", "JSON", 0, 0, 28183, 0, 0, 0, 0, 1, 28184
"c:\Users\rafal\Desktop\amca website\amca-website\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 1, 40
"c:\Users\rafal\Desktop\amca website\amca-website\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\rafal\Desktop\amca website\amca-website\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\rafal\Desktop\amca website\amca-website\src\App.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 10, 48
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\About.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Board.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Contact.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Events.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Footer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Header.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Home.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 8, 54
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\HomeSlide.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\HomeSlideRev.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\Join.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rafal\Desktop\amca website\amca-website\src\components\NavBar.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\rafal\Desktop\amca website\amca-website\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Users\rafal\Desktop\amca website\amca-website\src\styles\Header.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 4, 54
"c:\Users\rafal\Desktop\amca website\amca-website\src\styles\Header.scss", "SCSS", 0, 48, 0, 0, 0, 0, 1, 9, 58
"c:\Users\rafal\Desktop\amca website\amca-website\src\styles\Home.css", "CSS", 0, 0, 0, 66, 0, 0, 0, 4, 70
"c:\Users\rafal\Desktop\amca website\amca-website\src\styles\Home.scss", "SCSS", 0, 64, 0, 0, 0, 0, 0, 9, 73
"c:\Users\rafal\Desktop\amca website\amca-website\src\styles\Variables.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\rafal\Desktop\amca website\amca-website\src\styles\Variables.scss", "SCSS", 0, 6, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 233, 118, 28247, 119, 1, 20, 29, 79, 28846